danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount,Baseline,PostInduction,PostListening,rumination,rumsplit,brainstem,Entrainment,Memory,Conditioning,Imagery,Contagion,Expectancy,Appraisal,LikelyUse
0.623,0.917,4.43e-5,0.674,120.017,209240,0.31521739130434784,92,8,9,9,1.3333333333333333,Low,Yes,No,Yes,No,No,Yes,Yes,Yes,0
0.442,0.384,7.7e-5,0.216,123.281,235987,NA,NA,5,6,7,4.25,High,Yes,No,No,No,Yes,No,Yes,Yes,0
0.408,0.729,4.02e-6,0.279,145.068,304280,0.09259259259259259,54,7,9,8,3.8333333333333335,Low,Yes,No,No,No,No,No,Yes,Yes,0
0.268,0.292,0.885,0.0593,114.904,275013,0.22,50,8,9,8,4.916666666666667,High,Yes,No,Yes,No,No,No,Yes,Yes,1
0.498,0.104,7.86e-5,0.205,124.001,199931,0.3142857142857143,35,11,17,18,3.9166666666666665,High,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0
0.677,0.66,0.262,0.383,139.06,250713,0.17721518987341772,79,5,7,8,5,High,No,No,Yes,No,No,No,Yes,Yes,0
0.306,0.31,2.72e-5,0.126,207.508,214369,0.0958904109589041,292,11,15,12,3.25,Low,Yes,No,No,No,Yes,No,Yes,Yes,0
0.168,0.302,0.79,0.205,102.041,356333,0,16,8,11,13,4.083333333333333,High,Yes,No,No,No,No,No,No,Yes,1
0.129,0.358,0,0.172,75.048,241067,0.016666666666666666,60,12,11,16,4.083333333333333,High,No,No,No,Yes,No,No,Yes,Yes,0
0.348,0.907,0,0.177,185.406,212413,0.19696969696969696,66,9,12,19,4.166666666666667,High,Yes,No,No,No,No,No,Yes,No,1
0.467,0.324,0.0248,0.166,94.301,320267,NA,NA,8,7,7,3.0833333333333335,Low,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0
0.445,0.537,1.6e-5,0.131,122.764,244360,0.09195402298850575,87,6,13,15,4.166666666666667,High,No,No,No,Yes,Yes,No,Yes,Yes,1
0.0878,0.15,0.897,0.0381,85.438,135453,0,14,4,17,17,4.583333333333333,High,Yes,No,No,No,No,No,Yes,Yes,1
0.524,0.417,1.19e-6,0.109,93.59,254493,0.0379746835443038,79,11,12,15,4,High,Yes,No,No,No,No,No,Yes,Yes,0
0.291,0.79,5.61e-6,0.513,155.667,289907,NA,NA,15,24,16,3,Low,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
0.376,0.373,0.832,0.111,116.074,430000,0.030303030303030304,33,19,22,24,4.416666666666667,High,No,No,No,No,Yes,No,Yes,Yes,0
0.566,0.76,0,0.478,96.713,212967,NA,NA,10,8,9,3.0833333333333335,Low,Yes,Yes,No,Yes,Yes,No,Yes,Yes,0
0.602,0.609,2e-4,0.337,93.06,329160,0.05982905982905983,117,11,13,15,4.25,High,Yes,No,Yes,No,No,No,Yes,Yes,1
