danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount
0.298,0.151,0.00602,0.139,158.407,282680,0.2682926829268293,41
0.292,0.324,4.73e-4,0.384,176.631,201373,0.11666666666666667,60
0.339,0.541,0.158,0.11,128.103,350173,0.23529411764705882,17
0.316,0.769,0,0.127,122.507,321147,0.13636363636363635,66
0.409,0.137,0,0.106,162.08,225076,0.25,1200
0.377,0.595,0,0.264,144.464,290900,0.015151515151515152,264
0.671,0.153,5.53e-5,0.658,85.6,211933,0.01098901098901099,364
0.862,0.479,0.00126,0.925,109.878,301520,NA,NA
0.567,0.745,0,0.903,125.575,180133,NA,NA
0.47,0.431,0,0.289,157.98,295502,0.02040816326530612,882
0.0876,0.0865,0.896,0.0298,86.437,596227,NA,NA
0.424,0.437,0.336,0.131,174.127,208173,0.12121212121212122,33
0.428,0.276,5.33e-6,0.0382,99.195,280000,NA,NA
0.379,0.29,0.00106,0.169,166.467,201080,0.10344827586206896,232
0.407,0.147,2.89e-6,0.0765,141.284,229400,0.09090909090909091,22
0.592,0.457,3.31e-4,0.225,146.04,110886,0.13333333333333333,90
0.461,0.834,1.14e-5,0.471,135.007,261154,0.02631578947368421,114
0.39,0.649,0,0.144,121.16,299760,NA,NA
0.556,0.538,0,0.291,143.95,223347,0.11009174311926606,109
0.37,0.666,0,0.194,163.796,244999,0.010869565217391304,92
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240
0.554,0.462,0,0.388,162.549,237370,0.10256410256410256,39
0.52,0.964,1.71e-4,0.0998,114.989,272000,0.08928571428571429,56
0.449,0.227,0,0.216,137.856,227660,0,44
0.64,0.743,0,0.361,122.035,262533,0.14,1600
0.54,0.265,0,0.423,61.975,168547,0.10638297872340426,47
0.658,0.591,5.27e-6,0.326,114.078,323747,0.045454545454545456,132
0.525,0.335,6.15e-4,0.41,110.522,233333,0.04395604395604396,91
0.429,0.661,1.3e-4,0.285,173.365,266773,0,42
0.601,0.59,0,0.274,151.952,206453,0.006578947368421052,152
0.532,0.906,0,0.547,140.684,274627,0.06545454545454546,275
0.618,0.793,0.0154,0.459,101.015,347526,0.047058823529411764,85
0.573,0.781,2.64e-5,0.343,139.934,231907,0.04285714285714286,70
0.403,0.3,0,0.234,162.874,245427,0.08955223880597014,67
0.641,0.667,0,0.51,102.002,259453,0.029239766081871343,684
0.682,0.173,3.26e-5,0.236,112.663,260285,0.058823529411764705,272
0.625,0.546,0,0.109,90.03,244356,0.04132231404958678,121
0.491,0.139,0.11,0.109,125.086,241467,0.1794871794871795,39
0.518,0.401,1.85e-4,0.171,92.148,216533,0.16216216216216217,592
0.38,0.573,2.38e-6,0.0901,74.988,303133,0.21428571428571427,896
0.279,0.074,0.648,0.11,165.27,250573,NA,NA
0.435,0.155,0,0.0935,128.532,287693,0.06756756756756757,74
0.474,0.707,0,0.224,83.235,252107,0.04477611940298507,268
0.756,0.609,0.00474,0.537,117.023,155720,0,57
0.301,0.571,0.8,0.0412,178.084,315987,0.060240963855421686,83
0.81,0.436,1.51e-4,0.446,119.973,259413,0.0196078431372549,102
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA
0.598,0.343,0.0219,0.419,103.984,202107,0.043478260869565216,184
0.468,0.508,0.801,0.305,120.854,219000,0.03773584905660377,53
